Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,Total_Load,High_Glazing,Aspect_Ratio,Orientation_enc,GAD_enc
0.98,514.5,294,110.25,7,2,0,0,15.55,21.33,36.88,0,1.27272727272727,0,0
0.98,514.5,294,110.25,7,3,0,0,15.55,21.33,36.88,0,1.27272727272727,1,0
0.98,514.5,294,110.25,7,4,0,0,15.55,21.33,36.88,0,1.27272727272727,2,0
0.98,514.5,294,110.25,7,5,0,0,15.55,21.33,36.88,0,1.27272727272727,3,0
0.9,563.5,318.5,122.5,7,2,0,0,20.84,28.28,49.12,0,1.27777777777778,0,0
0.9,563.5,318.5,122.5,7,3,0,0,21.46,25.38,46.84,0,1.27777777777778,1,0
0.9,563.5,318.5,122.5,7,4,0,0,20.71,25.16,45.87,0,1.27777777777778,2,0
0.9,563.5,318.5,122.5,7,5,0,0,19.68,29.6,49.28,0,1.27777777777778,3,0
0.86,588,294,147,7,2,0,0,19.5,27.3,46.8,0,1.33333333333333,0,0
0.86,588,294,147,7,3,0,0,19.95,21.97,41.92,0,1.33333333333333,1,0
0.86,588,294,147,7,4,0,0,19.34,23.49,42.83,0,1.33333333333333,2,0
0.86,588,294,147,7,5,0,0,18.31,27.87,46.18,0,1.33333333333333,3,0
0.82,612.5,318.5,147,7,2,0,0,17.05,23.77,40.82,0,1.31578947368421,0,0
0.82,612.5,318.5,147,7,3,0,0,17.41,21.46,38.87,0,1.31578947368421,1,0
0.82,612.5,318.5,147,7,4,0,0,16.95,21.16,38.11,0,1.31578947368421,2,0
0.82,612.5,318.5,147,7,5,0,0,15.98,24.93,40.91,0,1.31578947368421,3,0
0.79,637,343,147,7,2,0,0,28.52,37.73,66.25,0,1.3,0,0
0.79,637,343,147,7,3,0,0,29.9,31.27,61.17,0,1.3,1,0
0.79,637,343,147,7,4,0,0,29.63,30.93,60.56,0,1.3,2,0
0.79,637,343,147,7,5,0,0,28.75,39.44,68.19,0,1.3,3,0
0.76,661.5,416.5,122.5,7,2,0,0,24.77,29.79,54.56,0,1.22727272727273,0,0
0.76,661.5,416.5,122.5,7,3,0,0,23.93,29.68,53.61,0,1.22727272727273,1,0
0.76,661.5,416.5,122.5,7,4,0,0,24.77,29.79,54.56,0,1.22727272727273,2,0
0.76,661.5,416.5,122.5,7,5,0,0,23.93,29.4,53.33,0,1.22727272727273,3,0
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9,16.97,0,1.47368421052632,0,0
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19,17.24,0,1.47368421052632,1,0
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94,16.95,0,1.47368421052632,2,0
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17,17.21,0,1.47368421052632,3,0
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27,17.64,0,1.45,0,0
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72,18.12,0,1.45,1,0
0.71,710.5,269.5,220.5,3.5,4,0,0,6.366,11.29,17.656,0,1.45,2,0
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67,18.07,0,1.45,3,0
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74,18.59,0,1.42857142857143,0,0
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05,18.84,0,1.42857142857143,1,0
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73,18.5,0,1.42857142857143,2,0
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93,18.74,0,1.42857142857143,3,0
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4,19.58,0,1.40909090909091,0,0
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23,19.33,0,1.40909090909091,1,0
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4,19.5,0,1.40909090909091,2,0
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14,19.24,0,1.40909090909091,3,0
0.64,784,343,220.5,3.5,2,0,0,10.85,16.78,27.63,0,1.39130434782609,0,0
0.64,784,343,220.5,3.5,3,0,0,10.54,16.8,27.34,0,1.39130434782609,1,0
0.64,784,343,220.5,3.5,4,0,0,10.77,16.75,27.52,0,1.39130434782609,2,0
0.64,784,343,220.5,3.5,5,0,0,10.56,16.67,27.23,0,1.39130434782609,3,0
0.62,808.5,367.5,220.5,3.5,2,0,0,8.6,12.07,20.67,0,1.375,0,0
0.62,808.5,367.5,220.5,3.5,3,0,0,8.49,12.22,20.71,0,1.375,1,0
0.62,808.5,367.5,220.5,3.5,4,0,0,8.45,12.08,20.53,0,1.375,2,0
0.62,808.5,367.5,220.5,3.5,5,0,0,8.5,12.04,20.54,0,1.375,3,0
0.98,514.5,294,110.25,7,2,0.1,1,24.58,26.47,51.05,0,1.27272727272727,0,1
0.98,514.5,294,110.25,7,3,0.1,1,24.63,26.37,51,0,1.27272727272727,1,1
0.98,514.5,294,110.25,7,4,0.1,1,24.63,26.44,51.07,0,1.27272727272727,2,1
0.98,514.5,294,110.25,7,5,0.1,1,24.59,26.29,50.88,0,1.27272727272727,3,1
0.9,563.5,318.5,122.5,7,2,0.1,1,29.03,32.92,61.95,0,1.27777777777778,0,1
0.9,563.5,318.5,122.5,7,3,0.1,1,29.87,29.87,59.74,0,1.27777777777778,1,1
0.9,563.5,318.5,122.5,7,4,0.1,1,29.14,29.58,58.72,0,1.27777777777778,2,1
0.9,563.5,318.5,122.5,7,5,0.1,1,28.09,34.33,62.42,0,1.27777777777778,3,1
0.86,588,294,147,7,2,0.1,1,26.28,30.89,57.17,0,1.33333333333333,0,1
0.86,588,294,147,7,3,0.1,1,26.91,25.6,52.51,0,1.33333333333333,1,1
0.86,588,294,147,7,4,0.1,1,26.37,27.03,53.4,0,1.33333333333333,2,1
0.86,588,294,147,7,5,0.1,1,25.27,31.73,57,0,1.33333333333333,3,1
0.82,612.5,318.5,147,7,2,0.1,1,23.53,27.31,50.84,0,1.31578947368421,0,1
0.82,612.5,318.5,147,7,3,0.1,1,24.03,24.91,48.94,0,1.31578947368421,1,1
0.82,612.5,318.5,147,7,4,0.1,1,23.54,24.61,48.15,0,1.31578947368421,2,1
0.82,612.5,318.5,147,7,5,0.1,1,22.58,28.51,51.09,0,1.31578947368421,3,1
0.79,637,343,147,7,2,0.1,1,35.56,41.68,77.24,0,1.3,0,1
0.79,637,343,147,7,3,0.1,1,37.12,35.28,72.4,0,1.3,1,1
0.79,637,343,147,7,4,0.1,1,36.9,34.43,71.33,0,1.3,2,1
0.79,637,343,147,7,5,0.1,1,35.94,43.33,79.27,0,1.3,3,1
0.76,661.5,416.5,122.5,7,2,0.1,1,32.96,33.87,66.83,0,1.22727272727273,0,1
0.76,661.5,416.5,122.5,7,3,0.1,1,32.12,34.07,66.19,0,1.22727272727273,1,1
0.76,661.5,416.5,122.5,7,4,0.1,1,32.94,34.14,67.08,0,1.22727272727273,2,1
0.76,661.5,416.5,122.5,7,5,0.1,1,32.21,33.67,65.88,0,1.22727272727273,3,1
0.74,686,245,220.5,3.5,2,0.1,1,10.36,13.43,23.79,0,1.47368421052632,0,1
0.74,686,245,220.5,3.5,3,0.1,1,10.43,13.71,24.14,0,1.47368421052632,1,1
0.74,686,245,220.5,3.5,4,0.1,1,10.36,13.48,23.84,0,1.47368421052632,2,1
0.74,686,245,220.5,3.5,5,0.1,1,10.39,13.7,24.09,0,1.47368421052632,3,1
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,13.8,24.51,0,1.45,0,1
0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8,14.28,25.08,0,1.45,1,1
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7,13.87,24.57,0,1.45,2,1
0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75,14.27,25.02,0,1.45,3,1
0.69,735,294,220.5,3.5,2,0.1,1,11.11,14.28,25.39,0,1.42857142857143,0,1
0.69,735,294,220.5,3.5,3,0.1,1,11.13,14.61,25.74,0,1.42857142857143,1,1
0.69,735,294,220.5,3.5,4,0.1,1,11.09,14.3,25.39,0,1.42857142857143,2,1
0.69,735,294,220.5,3.5,5,0.1,1,11.16,14.45,25.61,0,1.42857142857143,3,1
0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68,13.9,25.58,0,1.40909090909091,0,1
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69,13.72,25.41,0,1.40909090909091,1,1
0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7,13.88,25.58,0,1.40909090909091,2,1
0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69,13.65,25.34,0,1.40909090909091,3,1
0.64,784,343,220.5,3.5,2,0.1,1,15.41,19.37,34.78,0,1.39130434782609,0,1
0.64,784,343,220.5,3.5,3,0.1,1,15.2,19.43,34.63,0,1.39130434782609,1,1
0.64,784,343,220.5,3.5,4,0.1,1,15.42,19.34,34.76,0,1.39130434782609,2,1
0.64,784,343,220.5,3.5,5,0.1,1,15.21,19.32,34.53,0,1.39130434782609,3,1
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96,14.34,27.3,0,1.375,0,1
0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97,14.5,27.47,0,1.375,1,1
0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93,14.33,27.26,0,1.375,2,1
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02,14.27,27.29,0,1.375,3,1
0.98,514.5,294,110.25,7,2,0.1,2,24.29,25.95,50.24,0,1.27272727272727,0,2
0.98,514.5,294,110.25,7,3,0.1,2,24.31,25.63,49.94,0,1.27272727272727,1,2
0.98,514.5,294,110.25,7,4,0.1,2,24.13,26.13,50.26,0,1.27272727272727,2,2
0.98,514.5,294,110.25,7,5,0.1,2,24.25,25.89,50.14,0,1.27272727272727,3,2
0.9,563.5,318.5,122.5,7,2,0.1,2,28.88,32.54,61.42,0,1.27777777777778,0,2
0.9,563.5,318.5,122.5,7,3,0.1,2,29.68,29.44,59.12,0,1.27777777777778,1,2
0.9,563.5,318.5,122.5,7,4,0.1,2,28.83,29.36,58.19,0,1.27777777777778,2,2
0.9,563.5,318.5,122.5,7,5,0.1,2,27.9,34.2,62.1,0,1.27777777777778,3,2
0.86,588,294,147,7,2,0.1,2,26.48,30.91,57.39,0,1.33333333333333,0,2
0.86,588,294,147,7,3,0.1,2,27.02,25.63,52.65,0,1.33333333333333,1,2
0.86,588,294,147,7,4,0.1,2,26.33,27.36,53.69,0,1.33333333333333,2,2
0.86,588,294,147,7,5,0.1,2,25.36,31.9,57.26,0,1.33333333333333,3,2
0.82,612.5,318.5,147,7,2,0.1,2,23.75,27.38,51.13,0,1.31578947368421,0,2
0.82,612.5,318.5,147,7,3,0.1,2,24.23,25.02,49.25,0,1.31578947368421,1,2
0.82,612.5,318.5,147,7,4,0.1,2,23.67,24.8,48.47,0,1.31578947368421,2,2
0.82,612.5,318.5,147,7,5,0.1,2,22.79,28.79,51.58,0,1.31578947368421,3,2
0.79,637,343,147,7,2,0.1,2,35.65,41.07,76.72,0,1.3,0,2
0.79,637,343,147,7,3,0.1,2,37.26,34.62,71.88,0,1.3,1,2
0.79,637,343,147,7,4,0.1,2,36.97,33.87,70.84,0,1.3,2,2
0.79,637,343,147,7,5,0.1,2,36.03,42.86,78.89,0,1.3,3,2
0.76,661.5,416.5,122.5,7,2,0.1,2,33.16,33.91,67.07,0,1.22727272727273,0,2
0.76,661.5,416.5,122.5,7,3,0.1,2,32.4,34.07,66.47,0,1.22727272727273,1,2
0.76,661.5,416.5,122.5,7,4,0.1,2,33.12,34.17,67.29,0,1.22727272727273,2,2
0.76,661.5,416.5,122.5,7,5,0.1,2,32.41,33.78,66.19,0,1.22727272727273,3,2
0.74,686,245,220.5,3.5,2,0.1,2,10.42,13.39,23.81,0,1.47368421052632,0,2
0.74,686,245,220.5,3.5,3,0.1,2,10.46,13.72,24.18,0,1.47368421052632,1,2
0.74,686,245,220.5,3.5,4,0.1,2,10.32,13.57,23.89,0,1.47368421052632,2,2
0.74,686,245,220.5,3.5,5,0.1,2,10.45,13.79,24.24,0,1.47368421052632,3,2
0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64,13.67,24.31,0,1.45,0,2
0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72,14.11,24.83,0,1.45,1,2
0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.55,13.8,24.35,0,1.45,2,2
0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.68,14.21,24.89,0,1.45,3,2
0.69,735,294,220.5,3.5,2,0.1,2,11.45,13.2,24.65,0,1.42857142857143,0,2
0.69,735,294,220.5,3.5,3,0.1,2,11.46,13.54,25,0,1.42857142857143,1,2
0.69,735,294,220.5,3.5,4,0.1,2,11.32,13.32,24.64,0,1.42857142857143,2,2
0.69,735,294,220.5,3.5,5,0.1,2,11.49,13.51,25,0,1.42857142857143,3,2
0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45,14.86,26.31,0,1.40909090909091,0,2
0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42,14.75,26.17,0,1.40909090909091,1,2
0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33,15,26.33,0,1.40909090909091,2,2
0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43,14.74,26.17,0,1.40909090909091,3,2
0.64,784,343,220.5,3.5,2,0.1,2,15.41,19.23,34.64,0,1.39130434782609,0,2
0.64,784,343,220.5,3.5,3,0.1,2,15.18,19.34,34.52,0,1.39130434782609,1,2
0.64,784,343,220.5,3.5,4,0.1,2,15.34,19.32,34.66,0,1.39130434782609,2,2
0.64,784,343,220.5,3.5,5,0.1,2,15.19,19.3,34.49,0,1.39130434782609,3,2
0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.88,14.37,27.25,0,1.375,0,2
0.62,808.5,367.5,220.5,3.5,3,0.1,2,13,14.57,27.57,0,1.375,1,2
0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97,14.27,27.24,0,1.375,2,2
0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04,14.24,27.28,0,1.375,3,2
0.98,514.5,294,110.25,7,2,0.1,3,24.28,25.68,49.96,0,1.27272727272727,0,3
0.98,514.5,294,110.25,7,3,0.1,3,24.4,26.02,50.42,0,1.27272727272727,1,3
0.98,514.5,294,110.25,7,4,0.1,3,24.11,25.84,49.95,0,1.27272727272727,2,3
0.98,514.5,294,110.25,7,5,0.1,3,24.35,26.14,50.49,0,1.27272727272727,3,3
0.9,563.5,318.5,122.5,7,2,0.1,3,28.07,34.14,62.21,0,1.27777777777778,0,3
0.9,563.5,318.5,122.5,7,3,0.1,3,29.01,32.85,61.86,0,1.27777777777778,1,3
0.9,563.5,318.5,122.5,7,4,0.1,3,29.62,30.08,59.7,0,1.27777777777778,2,3
0.9,563.5,318.5,122.5,7,5,0.1,3,29.05,29.67,58.72,0,1.27777777777778,3,3
0.86,588,294,147,7,2,0.1,3,25.41,31.73,57.14,0,1.33333333333333,0,3
0.86,588,294,147,7,3,0.1,3,26.47,31.01,57.48,0,1.33333333333333,1,3
0.86,588,294,147,7,4,0.1,3,26.89,25.9,52.79,0,1.33333333333333,2,3
0.86,588,294,147,7,5,0.1,3,26.46,27.4,53.86,0,1.33333333333333,3,3
0.82,612.5,318.5,147,7,2,0.1,3,22.93,28.68,51.61,0,1.31578947368421,0,3
0.82,612.5,318.5,147,7,3,0.1,3,23.84,27.54,51.38,0,1.31578947368421,1,3
0.82,612.5,318.5,147,7,4,0.1,3,24.17,25.35,49.52,0,1.31578947368421,2,3
0.82,612.5,318.5,147,7,5,0.1,3,23.87,24.93,48.8,0,1.31578947368421,3,3
0.79,637,343,147,7,2,0.1,3,35.78,43.12,78.9,0,1.3,0,3
0.79,637,343,147,7,3,0.1,3,35.48,41.22,76.7,0,1.3,1,3
0.79,637,343,147,7,4,0.1,3,36.97,35.1,72.07,0,1.3,2,3
0.79,637,343,147,7,5,0.1,3,36.7,34.29,70.99,0,1.3,3,3
0.76,661.5,416.5,122.5,7,2,0.1,3,32.52,33.85,66.37,0,1.22727272727273,0,3
0.76,661.5,416.5,122.5,7,3,0.1,3,33.28,34.11,67.39,0,1.22727272727273,1,3
0.76,661.5,416.5,122.5,7,4,0.1,3,32.33,34.48,66.81,0,1.22727272727273,2,3
0.76,661.5,416.5,122.5,7,5,0.1,3,33.24,34.5,67.74,0,1.22727272727273,3,3
0.74,686,245,220.5,3.5,2,0.1,3,10.39,13.6,23.99,0,1.47368421052632,0,3
0.74,686,245,220.5,3.5,3,0.1,3,10.34,13.36,23.7,0,1.47368421052632,1,3
0.74,686,245,220.5,3.5,4,0.1,3,10.35,13.65,24,0,1.47368421052632,2,3
0.74,686,245,220.5,3.5,5,0.1,3,10.38,13.49,23.87,0,1.47368421052632,3,3
0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77,14.14,24.91,0,1.45,0,3
0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68,13.77,24.45,0,1.45,1,3
0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.68,14.3,24.98,0,1.45,2,3
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7,13.87,24.57,0,1.45,3,3
0.69,735,294,220.5,3.5,2,0.1,3,11.22,14.44,25.66,0,1.42857142857143,0,3
0.69,735,294,220.5,3.5,3,0.1,3,11.16,14.27,25.43,0,1.42857142857143,1,3
0.69,735,294,220.5,3.5,4,0.1,3,11.1,14.67,25.77,0,1.42857142857143,2,3
0.69,735,294,220.5,3.5,5,0.1,3,11.14,14.4,25.54,0,1.42857142857143,3,3
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59,13.46,25.05,0,1.40909090909091,0,3
0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6,13.7,25.3,0,1.40909090909091,1,3
0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53,13.59,25.12,0,1.40909090909091,2,3
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61,13.83,25.44,0,1.40909090909091,3,3
0.64,784,343,220.5,3.5,2,0.1,3,15.16,19.14,34.3,0,1.39130434782609,0,3
0.64,784,343,220.5,3.5,3,0.1,3,15.36,19.18,34.54,0,1.39130434782609,1,3
0.64,784,343,220.5,3.5,4,0.1,3,15.12,19.37,34.49,0,1.39130434782609,2,3
0.64,784,343,220.5,3.5,5,0.1,3,15.36,19.29,34.65,0,1.39130434782609,3,3
0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68,14.09,26.77,0,1.375,0,3
0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63,14.23,26.86,0,1.375,1,3
0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71,14.14,26.85,0,1.375,2,3
0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73,13.89,26.62,0,1.375,3,3
0.98,514.5,294,110.25,7,2,0.1,4,24.38,25.91,50.29,0,1.27272727272727,0,4
0.98,514.5,294,110.25,7,3,0.1,4,24.23,25.72,49.95,0,1.27272727272727,1,4
0.98,514.5,294,110.25,7,4,0.1,4,24.04,26.18,50.22,0,1.27272727272727,2,4
0.98,514.5,294,110.25,7,5,0.1,4,24.32,25.87,50.19,0,1.27272727272727,3,4
0.9,563.5,318.5,122.5,7,2,0.1,4,29.06,29.34,58.4,0,1.27777777777778,0,4
0.9,563.5,318.5,122.5,7,3,0.1,4,28.05,33.91,61.96,0,1.27777777777778,1,4
0.9,563.5,318.5,122.5,7,4,0.1,4,28.86,32.83,61.69,0,1.27777777777778,2,4
0.9,563.5,318.5,122.5,7,5,0.1,4,29.79,29.92,59.71,0,1.27777777777778,3,4
0.86,588,294,147,7,2,0.1,4,26.44,27.17,53.61,0,1.33333333333333,0,4
0.86,588,294,147,7,3,0.1,4,25.37,31.76,57.13,0,1.33333333333333,1,4
0.86,588,294,147,7,4,0.1,4,26.33,31.06,57.39,0,1.33333333333333,2,4
0.86,588,294,147,7,5,0.1,4,27.03,25.81,52.84,0,1.33333333333333,3,4
0.82,612.5,318.5,147,7,2,0.1,4,23.8,24.61,48.41,0,1.31578947368421,0,4
0.82,612.5,318.5,147,7,3,0.1,4,22.8,28.61,51.41,0,1.31578947368421,1,4
0.82,612.5,318.5,147,7,4,0.1,4,23.59,27.57,51.16,0,1.31578947368421,2,4
0.82,612.5,318.5,147,7,5,0.1,4,24.24,25.16,49.4,0,1.31578947368421,3,4
0.79,637,343,147,7,2,0.1,4,36.86,34.25,71.11,0,1.3,0,4
0.79,637,343,147,7,3,0.1,4,35.89,43.3,79.19,0,1.3,1,4
0.79,637,343,147,7,4,0.1,4,35.45,41.86,77.31,0,1.3,2,4
0.79,637,343,147,7,5,0.1,4,37.1,35.29,72.39,0,1.3,3,4
0.76,661.5,416.5,122.5,7,2,0.1,4,33.08,34.11,67.19,0,1.22727272727273,0,4
0.76,661.5,416.5,122.5,7,3,0.1,4,32.38,33.62,66,0,1.22727272727273,1,4
0.76,661.5,416.5,122.5,7,4,0.1,4,33.09,33.89,66.98,0,1.22727272727273,2,4
0.76,661.5,416.5,122.5,7,5,0.1,4,32.31,34.05,66.36,0,1.22727272727273,3,4
0.74,686,245,220.5,3.5,2,0.1,4,10.08,13.2,23.28,0,1.47368421052632,0,4
0.74,686,245,220.5,3.5,3,0.1,4,10.15,13.36,23.51,0,1.47368421052632,1,4
0.74,686,245,220.5,3.5,4,0.1,4,10.07,13.21,23.28,0,1.47368421052632,2,4
0.74,686,245,220.5,3.5,5,0.1,4,10.14,13.53,23.67,0,1.47368421052632,3,4
0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66,13.67,24.33,0,1.45,0,4
0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.68,14.12,24.8,0,1.45,1,4
0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53,13.79,24.32,0,1.45,2,4
0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72,14.2,24.92,0,1.45,3,4
0.69,735,294,220.5,3.5,2,0.1,4,11.18,14.29,25.47,0,1.42857142857143,0,4
0.69,735,294,220.5,3.5,3,0.1,4,11.22,14.49,25.71,0,1.42857142857143,1,4
0.69,735,294,220.5,3.5,4,0.1,4,11.07,14.42,25.49,0,1.42857142857143,2,4
0.69,735,294,220.5,3.5,5,0.1,4,11.2,14.73,25.93,0,1.42857142857143,3,4
0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.44,14.86,26.3,0,1.40909090909091,0,4
0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42,14.67,26.09,0,1.40909090909091,1,4
0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.33,15,26.33,0,1.40909090909091,2,4
0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.43,14.83,26.26,0,1.40909090909091,3,4
0.64,784,343,220.5,3.5,2,0.1,4,15.4,19.24,34.64,0,1.39130434782609,0,4
0.64,784,343,220.5,3.5,3,0.1,4,15.19,19.25,34.44,0,1.39130434782609,1,4
0.64,784,343,220.5,3.5,4,0.1,4,15.32,19.42,34.74,0,1.39130434782609,2,4
0.64,784,343,220.5,3.5,5,0.1,4,15.16,19.48,34.64,0,1.39130434782609,3,4
0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85,14.37,27.22,0,1.375,0,4
0.62,808.5,367.5,220.5,3.5,3,0.1,4,13.04,14.34,27.38,0,1.375,1,4
0.62,808.5,367.5,220.5,3.5,4,0.1,4,13,14.28,27.28,0,1.375,2,4
0.62,808.5,367.5,220.5,3.5,5,0.1,4,13,14.47,27.47,0,1.375,3,4
0.98,514.5,294,110.25,7,2,0.1,5,24.35,25.64,49.99,0,1.27272727272727,0,5
0.98,514.5,294,110.25,7,3,0.1,5,24.33,25.98,50.31,0,1.27272727272727,1,5
0.98,514.5,294,110.25,7,4,0.1,5,24.03,25.88,49.91,0,1.27272727272727,2,5
0.98,514.5,294,110.25,7,5,0.1,5,24.26,26.18,50.44,0,1.27272727272727,3,5
0.9,563.5,318.5,122.5,7,2,0.1,5,29.83,29.82,59.65,0,1.27777777777778,0,5
0.9,563.5,318.5,122.5,7,3,0.1,5,29.08,29.52,58.6,0,1.27777777777778,1,5
0.9,563.5,318.5,122.5,7,4,0.1,5,28.03,34.45,62.48,0,1.27777777777778,2,5
0.9,563.5,318.5,122.5,7,5,0.1,5,29.02,33.01,62.03,0,1.27777777777778,3,5
0.86,588,294,147,7,2,0.1,5,27.03,25.82,52.85,0,1.33333333333333,0,5
0.86,588,294,147,7,3,0.1,5,26.45,27.33,53.78,0,1.33333333333333,1,5
0.86,588,294,147,7,4,0.1,5,25.36,32.04,57.4,0,1.33333333333333,2,5
0.86,588,294,147,7,5,0.1,5,26.45,31.28,57.73,0,1.33333333333333,3,5
0.82,612.5,318.5,147,7,2,0.1,5,24.37,25.11,49.48,0,1.31578947368421,0,5
0.82,612.5,318.5,147,7,3,0.1,5,23.89,24.77,48.66,0,1.31578947368421,1,5
0.82,612.5,318.5,147,7,4,0.1,5,22.89,28.88,51.77,0,1.31578947368421,2,5
