Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,Total_Load,High_Glazing,Aspect_Ratio,Orientation_enc,GAD_enc
0.82,612.5,318.5,147,7,5,0.1,5,23.86,27.69,51.55,0,1.31578947368421,3,5
0.79,637,343,147,7,2,0.1,5,37.03,34.99,72.02,0,1.3,0,5
0.79,637,343,147,7,3,0.1,5,36.71,34.18,70.89,0,1.3,1,5
0.79,637,343,147,7,4,0.1,5,36.77,43.14,79.91,0,1.3,2,5
0.79,637,343,147,7,5,0.1,5,35.48,41.26,76.74,0,1.3,3,5
0.76,661.5,416.5,122.5,7,2,0.1,5,32.31,34.25,66.56,0,1.22727272727273,0,5
0.76,661.5,416.5,122.5,7,3,0.1,5,33.21,34.35,67.56,0,1.22727272727273,1,5
0.76,661.5,416.5,122.5,7,4,0.1,5,32.46,33.64,66.1,0,1.22727272727273,2,5
0.76,661.5,416.5,122.5,7,5,0.1,5,33.27,33.88,67.15,0,1.22727272727273,3,5
0.74,686,245,220.5,3.5,2,0.1,5,10.47,13.65,24.12,0,1.47368421052632,0,5
0.74,686,245,220.5,3.5,3,0.1,5,10.37,13.44,23.81,0,1.47368421052632,1,5
0.74,686,245,220.5,3.5,4,0.1,5,10.34,13.72,24.06,0,1.47368421052632,2,5
0.74,686,245,220.5,3.5,5,0.1,5,10.39,13.5,23.89,0,1.47368421052632,3,5
0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78,14.18,24.96,0,1.45,0,5
0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.7,13.75,24.45,0,1.45,1,5
0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.67,14.26,24.93,0,1.45,2,5
0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.69,13.89,27.58,0,1.45,3,5
0.69,735,294,220.5,3.5,2,0.1,5,11.21,14.55,25.76,0,1.42857142857143,0,5
0.69,735,294,220.5,3.5,3,0.1,5,11.14,14.28,25.42,0,1.42857142857143,1,5
0.69,735,294,220.5,3.5,4,0.1,5,11.11,14.46,25.57,0,1.42857142857143,2,5
0.69,735,294,220.5,3.5,5,0.1,5,11.16,14.39,25.55,0,1.42857142857143,3,5
0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.38,14.54,25.92,0,1.40909090909091,0,5
0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34,14.81,26.15,0,1.40909090909091,1,5
0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.22,14.65,25.87,0,1.40909090909091,2,5
0.66,759.5,318.5,220.5,3.5,5,0.1,5,11.34,14.87,26.21,0,1.40909090909091,3,5
0.64,784,343,220.5,3.5,2,0.1,5,15.16,19.24,34.4,0,1.39130434782609,0,5
0.64,784,343,220.5,3.5,3,0.1,5,15.37,19.18,34.55,0,1.39130434782609,1,5
0.64,784,343,220.5,3.5,4,0.1,5,15.12,19.26,34.38,0,1.39130434782609,2,5
0.64,784,343,220.5,3.5,5,0.1,5,15.36,19.29,34.65,0,1.39130434782609,3,5
0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59,14.24,26.83,0,1.375,0,5
0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74,13.97,26.71,0,1.375,1,5
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8,13.99,26.79,0,1.375,2,5
0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62,14.15,26.77,0,1.375,3,5
0.98,514.5,294,110.25,7,2,0.25,1,28.15,29.79,57.94,0,1.27272727272727,0,1
0.98,514.5,294,110.25,7,3,0.25,1,28.15,29.79,57.94,0,1.27272727272727,1,1
0.98,514.5,294,110.25,7,4,0.25,1,28.37,29.28,57.65,0,1.27272727272727,2,1
0.98,514.5,294,110.25,7,5,0.25,1,28.41,29.49,57.9,0,1.27272727272727,3,1
0.9,563.5,318.5,122.5,7,2,0.25,1,32.68,36.12,68.8,0,1.27777777777778,0,1
0.9,563.5,318.5,122.5,7,3,0.25,1,33.48,33.17,66.65,0,1.27777777777778,1,1
0.9,563.5,318.5,122.5,7,4,0.25,1,32.84,32.71,65.55,0,1.27777777777778,2,1
0.9,563.5,318.5,122.5,7,5,0.25,1,32,37.58,69.58,0,1.27777777777778,3,1
0.86,588,294,147,7,2,0.25,1,29.54,33.98,63.52,0,1.33333333333333,0,1
0.86,588,294,147,7,3,0.25,1,30.05,28.61,58.66,0,1.33333333333333,1,1
0.86,588,294,147,7,4,0.25,1,29.6,30.12,59.72,0,1.33333333333333,2,1
0.86,588,294,147,7,5,0.25,1,28.66,34.73,63.39,0,1.33333333333333,3,1
0.82,612.5,318.5,147,7,2,0.25,1,26.84,30.17,57.01,0,1.31578947368421,0,1
0.82,612.5,318.5,147,7,3,0.25,1,27.27,27.84,55.11,0,1.31578947368421,1,1
0.82,612.5,318.5,147,7,4,0.25,1,26.97,27.25,54.22,0,1.31578947368421,2,1
0.82,612.5,318.5,147,7,5,0.25,1,26.19,31.39,57.58,0,1.31578947368421,3,1
0.79,637,343,147,7,2,0.25,1,38.67,43.8,82.47,0,1.3,0,1
0.79,637,343,147,7,3,0.25,1,40.03,37.81,77.84,0,1.3,1,1
0.79,637,343,147,7,4,0.25,1,39.86,36.85,76.71,0,1.3,2,1
0.79,637,343,147,7,5,0.25,1,39.04,45.52,84.56,0,1.3,3,1
0.76,661.5,416.5,122.5,7,2,0.25,1,36.96,36.85,73.81,0,1.22727272727273,0,1
0.76,661.5,416.5,122.5,7,3,0.25,1,36.13,37.58,73.71,0,1.22727272727273,1,1
0.76,661.5,416.5,122.5,7,4,0.25,1,36.91,37.45,74.36,0,1.22727272727273,2,1
0.76,661.5,416.5,122.5,7,5,0.25,1,36.43,36.62,73.05,0,1.22727272727273,3,1
0.74,686,245,220.5,3.5,2,0.25,1,12.43,15.19,27.62,0,1.47368421052632,0,1
0.74,686,245,220.5,3.5,3,0.25,1,12.5,15.5,28,0,1.47368421052632,1,1
0.74,686,245,220.5,3.5,4,0.25,1,12.41,15.28,27.69,0,1.47368421052632,2,1
0.74,686,245,220.5,3.5,5,0.25,1,12.45,15.5,27.95,0,1.47368421052632,3,1
0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57,15.42,27.99,0,1.45,0,1
0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.65,15.85,28.5,0,1.45,1,1
0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57,15.44,28.01,0,1.45,2,1
0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.63,15.81,28.44,0,1.45,3,1
0.69,735,294,220.5,3.5,2,0.25,1,12.78,15.21,27.99,0,1.42857142857143,0,1
0.69,735,294,220.5,3.5,3,0.25,1,12.93,15.63,28.56,0,1.42857142857143,1,1
0.69,735,294,220.5,3.5,4,0.25,1,12.73,15.48,28.21,0,1.42857142857143,2,1
0.69,735,294,220.5,3.5,5,0.25,1,12.72,15.78,28.5,0,1.42857142857143,3,1
0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.17,16.39,29.56,0,1.40909090909091,0,1
0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.18,16.27,29.45,0,1.40909090909091,1,1
0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.17,16.39,29.56,0,1.40909090909091,2,1
0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.18,16.19,29.37,0,1.40909090909091,3,1
0.64,784,343,220.5,3.5,2,0.25,1,17.5,21.13,38.63,0,1.39130434782609,0,1
0.64,784,343,220.5,3.5,3,0.25,1,17.35,21.19,38.54,0,1.39130434782609,1,1
0.64,784,343,220.5,3.5,4,0.25,1,17.52,21.09,38.61,0,1.39130434782609,2,1
0.64,784,343,220.5,3.5,5,0.25,1,17.37,21.08,38.45,0,1.39130434782609,3,1
0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.09,15.77,30.86,0,1.375,0,1
0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12,15.95,31.07,0,1.375,1,1
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08,15.77,30.85,0,1.375,2,1
0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16,15.76,30.92,0,1.375,3,1
0.98,514.5,294,110.25,7,2,0.25,2,28.67,29.62,58.29,0,1.27272727272727,0,2
0.98,514.5,294,110.25,7,3,0.25,2,28.57,29.69,58.26,0,1.27272727272727,1,2
0.98,514.5,294,110.25,7,4,0.25,2,28.18,30.18,58.36,0,1.27272727272727,2,2
0.98,514.5,294,110.25,7,5,0.25,2,28.6,30.02,58.62,0,1.27272727272727,3,2
0.9,563.5,318.5,122.5,7,2,0.25,2,32.46,35.56,68.02,0,1.27777777777778,0,2
0.9,563.5,318.5,122.5,7,3,0.25,2,33.27,32.64,65.91,0,1.27777777777778,1,2
0.9,563.5,318.5,122.5,7,4,0.25,2,32.33,32.77,65.1,0,1.27777777777778,2,2
0.9,563.5,318.5,122.5,7,5,0.25,2,31.66,37.72,69.38,0,1.27777777777778,3,2
0.86,588,294,147,7,2,0.25,2,29.34,33.37,62.71,0,1.33333333333333,0,2
0.86,588,294,147,7,3,0.25,2,29.87,27.89,57.76,0,1.33333333333333,1,2
0.86,588,294,147,7,4,0.25,2,29.27,29.9,59.17,0,1.33333333333333,2,2
0.86,588,294,147,7,5,0.25,2,28.4,34.52,62.92,0,1.33333333333333,3,2
0.82,612.5,318.5,147,7,2,0.25,2,25.74,28.27,54.01,0,1.31578947368421,0,2
0.82,612.5,318.5,147,7,3,0.25,2,25.98,26.96,52.94,0,1.31578947368421,1,2
0.82,612.5,318.5,147,7,4,0.25,2,25.38,26.72,52.1,0,1.31578947368421,2,2
0.82,612.5,318.5,147,7,5,0.25,2,24.94,29.88,54.82,0,1.31578947368421,3,2
0.79,637,343,147,7,2,0.25,2,38.57,43.86,82.43,0,1.3,0,2
0.79,637,343,147,7,3,0.25,2,40.19,37.41,77.6,0,1.3,1,2
0.79,637,343,147,7,4,0.25,2,39.97,36.77,76.74,0,1.3,2,2
0.79,637,343,147,7,5,0.25,2,38.98,45.97,84.95,0,1.3,3,2
0.76,661.5,416.5,122.5,7,2,0.25,2,36.95,36.87,73.82,0,1.22727272727273,0,2
0.76,661.5,416.5,122.5,7,3,0.25,2,36.28,37.35,73.63,0,1.22727272727273,1,2
0.76,661.5,416.5,122.5,7,4,0.25,2,36.86,37.28,74.14,0,1.22727272727273,2,2
0.76,661.5,416.5,122.5,7,5,0.25,2,36.45,36.81,73.26,0,1.22727272727273,3,2
0.74,686,245,220.5,3.5,2,0.25,2,12.35,14.73,27.08,0,1.47368421052632,0,2
0.74,686,245,220.5,3.5,3,0.25,2,12.45,15.1,27.55,0,1.47368421052632,1,2
0.74,686,245,220.5,3.5,4,0.25,2,12.16,15.18,27.34,0,1.47368421052632,2,2
0.74,686,245,220.5,3.5,5,0.25,2,12.3,15.44,27.74,0,1.47368421052632,3,2
0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33,14.91,27.24,0,1.45,0,2
0.71,710.5,269.5,220.5,3.5,3,0.25,2,12.29,15.4,27.69,0,1.45,1,2
0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2,14.94,27.14,0,1.45,2,2
0.71,710.5,269.5,220.5,3.5,5,0.25,2,12.49,15.32,27.81,0,1.45,3,2
0.69,735,294,220.5,3.5,2,0.25,2,12.85,15.52,28.37,0,1.42857142857143,0,2
0.69,735,294,220.5,3.5,3,0.25,2,12.87,15.85,28.72,0,1.42857142857143,1,2
0.69,735,294,220.5,3.5,4,0.25,2,12.73,15.66,28.39,0,1.42857142857143,2,2
0.69,735,294,220.5,3.5,5,0.25,2,12.95,15.99,28.94,0,1.42857142857143,3,2
0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.05,15.89,28.94,0,1.40909090909091,0,2
0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93,15.85,28.78,0,1.40909090909091,1,2
0.66,759.5,318.5,220.5,3.5,4,0.25,2,12.77,16.22,28.99,0,1.40909090909091,2,2
0.66,759.5,318.5,220.5,3.5,5,0.25,2,13,15.87,28.87,0,1.40909090909091,3,2
0.64,784,343,220.5,3.5,2,0.25,2,17.14,20.47,37.61,0,1.39130434782609,0,2
0.64,784,343,220.5,3.5,3,0.25,2,16.84,20.56,37.4,0,1.39130434782609,1,2
0.64,784,343,220.5,3.5,4,0.25,2,17.02,20.48,37.5,0,1.39130434782609,2,2
0.64,784,343,220.5,3.5,5,0.25,2,17.11,20.43,37.54,0,1.39130434782609,3,2
0.62,808.5,367.5,220.5,3.5,2,0.25,2,14.34,15.32,29.66,0,1.375,0,2
0.62,808.5,367.5,220.5,3.5,3,0.25,2,14.66,15.64,30.3,0,1.375,1,2
0.62,808.5,367.5,220.5,3.5,4,0.25,2,14.6,15.14,29.74,0,1.375,2,2
0.62,808.5,367.5,220.5,3.5,5,0.25,2,14.6,15.3,29.9,0,1.375,3,2
0.98,514.5,294,110.25,7,2,0.25,3,28.67,29.43,58.1,0,1.27272727272727,0,3
0.98,514.5,294,110.25,7,3,0.25,3,28.56,29.78,58.34,0,1.27272727272727,1,3
0.98,514.5,294,110.25,7,4,0.25,3,28.17,30.1,58.27,0,1.27272727272727,2,3
0.98,514.5,294,110.25,7,5,0.25,3,28.63,30.19,58.82,0,1.27272727272727,3,3
0.9,563.5,318.5,122.5,7,2,0.25,3,31.63,36.35,67.98,0,1.27777777777778,0,3
0.9,563.5,318.5,122.5,7,3,0.25,3,32.4,35.1,67.5,0,1.27777777777778,1,3
0.9,563.5,318.5,122.5,7,4,0.25,3,32.68,32.83,65.51,0,1.27777777777778,2,3
0.9,563.5,318.5,122.5,7,5,0.25,3,32.29,32.46,64.75,0,1.27777777777778,3,3
0.86,588,294,147,7,2,0.25,3,28.4,33.52,61.92,0,1.33333333333333,0,3
0.86,588,294,147,7,3,0.25,3,29.4,32.93,62.33,0,1.33333333333333,1,3
0.86,588,294,147,7,4,0.25,3,29.43,28.38,57.81,0,1.33333333333333,2,3
0.86,588,294,147,7,5,0.25,3,29.07,29.82,58.89,0,1.33333333333333,3,3
0.82,612.5,318.5,147,7,2,0.25,3,24.7,28.77,53.47,0,1.31578947368421,0,3
0.82,612.5,318.5,147,7,3,0.25,3,25.48,27.76,53.24,0,1.31578947368421,1,3
0.82,612.5,318.5,147,7,4,0.25,3,25.37,26.95,52.32,0,1.31578947368421,2,3
0.82,612.5,318.5,147,7,5,0.25,3,25.17,26.41,51.58,0,1.31578947368421,3,3
0.79,637,343,147,7,2,0.25,3,39.04,45.13,84.17,0,1.3,0,3
0.79,637,343,147,7,3,0.25,3,38.35,43.66,82.01,0,1.3,1,3
0.79,637,343,147,7,4,0.25,3,39.81,37.76,77.57,0,1.3,2,3
0.79,637,343,147,7,5,0.25,3,39.83,36.87,76.7,0,1.3,3,3
0.76,661.5,416.5,122.5,7,2,0.25,3,35.99,36.07,72.06,0,1.22727272727273,0,3
0.76,661.5,416.5,122.5,7,3,0.25,3,36.59,36.44,73.03,0,1.22727272727273,1,3
0.76,661.5,416.5,122.5,7,4,0.25,3,35.64,37.28,72.92,0,1.22727272727273,2,3
0.76,661.5,416.5,122.5,7,5,0.25,3,36.52,37.29,73.81,0,1.22727272727273,3,3
0.74,686,245,220.5,3.5,2,0.25,3,11.8,14.49,26.29,0,1.47368421052632,0,3
0.74,686,245,220.5,3.5,3,0.25,3,12.03,13.79,25.82,0,1.47368421052632,1,3
0.74,686,245,220.5,3.5,4,0.25,3,11.98,14.72,26.7,0,1.47368421052632,2,3
0.74,686,245,220.5,3.5,5,0.25,3,11.69,14.76,26.45,0,1.47368421052632,3,3
0.71,710.5,269.5,220.5,3.5,2,0.25,3,12.41,14.92,27.33,0,1.45,0,3
0.71,710.5,269.5,220.5,3.5,3,0.25,3,12.28,14.74,27.02,0,1.45,1,3
0.71,710.5,269.5,220.5,3.5,4,0.25,3,12.1,15.57,27.67,0,1.45,2,3
0.71,710.5,269.5,220.5,3.5,5,0.25,3,12.19,14.94,27.13,0,1.45,3,3
0.69,735,294,220.5,3.5,2,0.25,3,12.34,14.92,27.26,0,1.42857142857143,0,3
0.69,735,294,220.5,3.5,3,0.25,3,12.46,14.38,26.84,0,1.42857142857143,1,3
0.69,735,294,220.5,3.5,4,0.25,3,12.31,15.44,27.75,0,1.42857142857143,2,3
0.69,735,294,220.5,3.5,5,0.25,3,12.12,15.17,27.29,0,1.42857142857143,3,3
0.66,759.5,318.5,220.5,3.5,2,0.25,3,12.97,15.53,28.5,0,1.40909090909091,0,3
0.66,759.5,318.5,220.5,3.5,3,0.25,3,13.01,15.8,28.81,0,1.40909090909091,1,3
0.66,759.5,318.5,220.5,3.5,4,0.25,3,12.74,16.14,28.88,0,1.40909090909091,2,3
0.66,759.5,318.5,220.5,3.5,5,0.25,3,12.84,16.26,29.1,0,1.40909090909091,3,3
0.64,784,343,220.5,3.5,2,0.25,3,16.83,19.87,36.7,0,1.39130434782609,0,3
0.64,784,343,220.5,3.5,3,0.25,3,16.93,20.03,36.96,0,1.39130434782609,1,3
0.64,784,343,220.5,3.5,4,0.25,3,16.66,20.46,37.12,0,1.39130434782609,2,3
0.64,784,343,220.5,3.5,5,0.25,3,16.86,20.28,37.14,0,1.39130434782609,3,3
0.62,808.5,367.5,220.5,3.5,2,0.25,3,13.91,14.89,28.8,0,1.375,0,3
0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.34,14.96,29.3,0,1.375,1,3
0.62,808.5,367.5,220.5,3.5,4,0.25,3,13.95,14.89,28.84,0,1.375,2,3
0.62,808.5,367.5,220.5,3.5,5,0.25,3,13.99,14.35,28.34,0,1.375,3,3
0.98,514.5,294,110.25,7,2,0.25,4,28.7,29.61,58.31,0,1.27272727272727,0,4
0.98,514.5,294,110.25,7,3,0.25,4,28.55,29.59,58.14,0,1.27272727272727,1,4
0.98,514.5,294,110.25,7,4,0.25,4,28.15,30.19,58.34,0,1.27272727272727,2,4
0.98,514.5,294,110.25,7,5,0.25,4,28.62,30.12,58.74,0,1.27272727272727,3,4
0.9,563.5,318.5,122.5,7,2,0.25,4,32.67,32.12,64.79,0,1.27777777777778,0,4
0.9,563.5,318.5,122.5,7,3,0.25,4,31.69,37.12,68.81,0,1.27777777777778,1,4
0.9,563.5,318.5,122.5,7,4,0.25,4,32.07,36.16,68.23,0,1.27777777777778,2,4
0.9,563.5,318.5,122.5,7,5,0.25,4,33.28,33.16,66.44,0,1.27777777777778,3,4
0.86,588,294,147,7,2,0.25,4,29.47,29.45,58.92,0,1.33333333333333,0,4
0.86,588,294,147,7,3,0.25,4,28.42,34.19,62.61,0,1.33333333333333,1,4
0.86,588,294,147,7,4,0.25,4,29.08,33.93,63.01,0,1.33333333333333,2,4
0.86,588,294,147,7,5,0.25,4,29.88,28.31,58.19,0,1.33333333333333,3,4
0.82,612.5,318.5,147,7,2,0.25,4,25.66,26.3,51.96,0,1.31578947368421,0,4
0.82,612.5,318.5,147,7,3,0.25,4,24.96,29.43,54.39,0,1.31578947368421,1,4
0.82,612.5,318.5,147,7,4,0.25,4,25.43,28.76,54.19,0,1.31578947368421,2,4
0.82,612.5,318.5,147,7,5,0.25,4,26,27.34,53.34,0,1.31578947368421,3,4
0.79,637,343,147,7,2,0.25,4,40,36.26,76.26,0,1.3,0,4
0.79,637,343,147,7,3,0.25,4,38.84,45.48,84.32,0,1.3,1,4
0.79,637,343,147,7,4,0.25,4,38.33,44.16,82.49,0,1.3,2,4
0.79,637,343,147,7,5,0.25,4,40.12,37.26,77.38,0,1.3,3,4
0.76,661.5,416.5,122.5,7,2,0.25,4,36.95,37.2,74.15,0,1.22727272727273,0,4
0.76,661.5,416.5,122.5,7,3,0.25,4,36.45,36.76,73.21,0,1.22727272727273,1,4
0.76,661.5,416.5,122.5,7,4,0.25,4,36.81,37.05,73.86,0,1.22727272727273,2,4
0.76,661.5,416.5,122.5,7,5,0.25,4,36.26,37.51,73.77,0,1.22727272727273,3,4
0.74,686,245,220.5,3.5,2,0.25,4,12.32,14.92,27.24,0,1.47368421052632,0,4
0.74,686,245,220.5,3.5,3,0.25,4,12.3,15.24,27.54,0,1.47368421052632,1,4
0.74,686,245,220.5,3.5,4,0.25,4,12.18,15.03,27.21,0,1.47368421052632,2,4
0.74,686,245,220.5,3.5,5,0.25,4,12.43,15.35,27.78,0,1.47368421052632,3,4
0.71,710.5,269.5,220.5,3.5,2,0.25,4,12.36,14.67,27.03,0,1.45,0,4
0.71,710.5,269.5,220.5,3.5,3,0.25,4,12.49,15.09,27.58,0,1.45,1,4
0.71,710.5,269.5,220.5,3.5,4,0.25,4,12.17,15.2,27.37,0,1.45,2,4
0.71,710.5,269.5,220.5,3.5,5,0.25,4,12.28,15.64,27.92,0,1.45,3,4
0.69,735,294,220.5,3.5,2,0.25,4,12.91,15.37,28.28,0,1.42857142857143,0,4
0.69,735,294,220.5,3.5,3,0.25,4,12.95,15.73,28.68,0,1.42857142857143,1,4
0.69,735,294,220.5,3.5,4,0.25,4,12.67,15.83,28.5,0,1.42857142857143,2,4
0.69,735,294,220.5,3.5,5,0.25,4,12.86,16.13,28.99,0,1.42857142857143,3,4
0.66,759.5,318.5,220.5,3.5,2,0.25,4,12.95,15.95,28.9,0,1.40909090909091,0,4
0.66,759.5,318.5,220.5,3.5,3,0.25,4,13,15.59,28.59,0,1.40909090909091,1,4
0.66,759.5,318.5,220.5,3.5,4,0.25,4,12.86,16.17,29.03,0,1.40909090909091,2,4
0.66,759.5,318.5,220.5,3.5,5,0.25,4,12.92,16.14,29.06,0,1.40909090909091,3,4
0.64,784,343,220.5,3.5,2,0.25,4,16.99,19.65,36.64,0,1.39130434782609,0,4
0.64,784,343,220.5,3.5,3,0.25,4,16.69,19.76,36.45,0,1.39130434782609,1,4
0.64,784,343,220.5,3.5,4,0.25,4,16.56,20.37,36.93,0,1.39130434782609,2,4
0.64,784,343,220.5,3.5,5,0.25,4,16.62,19.9,36.52,0,1.39130434782609,3,4
0.62,808.5,367.5,220.5,3.5,2,0.25,4,14.33,15.41,29.74,0,1.375,0,4
0.62,808.5,367.5,220.5,3.5,3,0.25,4,14.61,15.56,30.17,0,1.375,1,4
0.62,808.5,367.5,220.5,3.5,4,0.25,4,14.61,15.07,29.68,0,1.375,2,4
0.62,808.5,367.5,220.5,3.5,5,0.25,4,14.65,15.38,30.03,0,1.375,3,4
0.98,514.5,294,110.25,7,2,0.25,5,28.69,29.53,58.22,0,1.27272727272727,0,5
0.98,514.5,294,110.25,7,3,0.25,5,28.58,29.77,58.35,0,1.27272727272727,1,5
0.98,514.5,294,110.25,7,4,0.25,5,28.15,30,58.15,0,1.27272727272727,2,5
0.98,514.5,294,110.25,7,5,0.25,5,28.61,30.2,58.81,0,1.27272727272727,3,5
0.9,563.5,318.5,122.5,7,2,0.25,5,33.13,32.25,65.38,0,1.27777777777778,0,5
0.9,563.5,318.5,122.5,7,3,0.25,5,32.31,32,64.31,0,1.27777777777778,1,5
0.9,563.5,318.5,122.5,7,4,0.25,5,31.53,37.19,68.72,0,1.27777777777778,2,5
0.9,563.5,318.5,122.5,7,5,0.25,5,32.46,35.62,68.08,0,1.27777777777778,3,5
0.86,588,294,147,7,2,0.25,5,29.71,28.02,57.73,0,1.33333333333333,0,5
0.86,588,294,147,7,3,0.25,5,29.09,29.43,58.52,0,1.33333333333333,1,5
0.86,588,294,147,7,4,0.25,5,28.31,34.15,62.46,0,1.33333333333333,2,5
0.86,588,294,147,7,5,0.25,5,29.39,33.47,62.86,0,1.33333333333333,3,5
0.82,612.5,318.5,147,7,2,0.25,5,25.7,26.53,52.23,0,1.31578947368421,0,5
0.82,612.5,318.5,147,7,3,0.25,5,25.17,26.08,51.25,0,1.31578947368421,1,5
0.82,612.5,318.5,147,7,4,0.25,5,24.6,29.31,53.91,0,1.31578947368421,2,5
0.82,612.5,318.5,147,7,5,0.25,5,25.49,28.14,53.63,0,1.31578947368421,3,5
0.79,637,343,147,7,2,0.25,5,39.89,37.54,77.43,0,1.3,0,5
0.79,637,343,147,7,3,0.25,5,39.83,36.66,76.49,0,1.3,1,5
0.79,637,343,147,7,4,0.25,5,39.01,45.28,84.29,0,1.3,2,5
0.79,637,343,147,7,5,0.25,5,38.65,43.73,82.38,0,1.3,3,5
0.76,661.5,416.5,122.5,7,2,0.25,5,35.69,36.93,72.62,0,1.22727272727273,0,5
0.76,661.5,416.5,122.5,7,3,0.25,5,36.64,37.01,73.65,0,1.22727272727273,1,5
0.76,661.5,416.5,122.5,7,4,0.25,5,36.06,35.73,71.79,0,1.22727272727273,2,5
0.76,661.5,416.5,122.5,7,5,0.25,5,36.7,36.15,72.85,0,1.22727272727273,3,5
0.74,686,245,220.5,3.5,2,0.25,5,12.12,14.48,26.6,0,1.47368421052632,0,5
0.74,686,245,220.5,3.5,3,0.25,5,11.67,14.58,26.25,0,1.47368421052632,1,5
0.74,686,245,220.5,3.5,4,0.25,5,11.64,14.81,26.45,0,1.47368421052632,2,5
0.74,686,245,220.5,3.5,5,0.25,5,12.02,14.03,26.05,0,1.47368421052632,3,5
0.71,710.5,269.5,220.5,3.5,2,0.25,5,12.27,15.27,27.54,0,1.45,0,5
0.71,710.5,269.5,220.5,3.5,3,0.25,5,12.19,14.71,26.9,0,1.45,1,5
